SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G08,2024-04-13 16:54:00.426041,4437174.593456899,3084919.883922861,3376284.2932512253,21164397.22402977,47.5
G10,2024-04-13 16:54:00.426041,4437162.800691107,3084917.264024137,3376282.6748589138,22845562.264508482,38.9
G21,2024-04-13 16:54:00.426041,4437150.940810885,3084910.6771162255,3376288.2480808417,21663709.65753191,49.4
G27,2024-04-13 16:54:00.426041,4435358.843419295,3084051.5585427573,3374467.8975725616,22225792.932373725,37.0
G28,2024-04-13 16:54:00.426041,4437135.21509479,3084906.0131470044,3376308.047126595,23813499.77190317,36.6
G32,2024-04-13 16:54:00.426041,4437128.863674924,3084902.2733051684,3376310.118005929,21485906.038540516,44.2
G08,2024-04-13 16:54:00.426041,4437129.548342188,3084910.7773822714,3376313.0559170297,21162049.541535944,37.0
G10,2024-04-13 16:54:00.426041,4435845.409370267,3083080.1255173236,3375062.588987087,22843201.98295745,30.9
G27,2024-04-13 16:54:00.426041,4437124.568985011,3084914.283322273,3376334.1736259246,22223455.44080706,29.3
G28,2024-04-13 16:54:00.426041,4435332.175831719,3084059.3171858657,3374510.6659219875,23811159.90710689,26.4
G32,2024-04-13 16:54:00.426041,4437091.939498166,3084898.267195411,3376322.884764854,21483552.35317179,32.4
G02,2024-04-13 16:54:01.426041,4435921.859086066,3084916.4015493393,3375111.5453053843,22880800.152298488,44.0
G03,2024-04-13 16:54:01.426041,4435914.090460634,3084908.565825026,3375105.889832628,23991760.865802824,37.7
G08,2024-04-13 16:54:01.426041,4437106.3215509625,3084932.442455096,3376350.755460952,21164616.64306763,47.1
G10,2024-04-13 16:54:01.426041,4437114.108074983,3084943.789157079,3376370.9952406953,22845950.182848834,39.7
G21,2024-04-13 16:54:01.426041,4435812.015617306,3083115.3812517845,3375087.133597004,21663401.17258271,49.7
G27,2024-04-13 16:54:01.426041,4437087.183413103,3084947.3628414487,3376339.8352095294,22226379.015386727,38.9
G28,2024-04-13 16:54:01.426041,4437074.672660299,3084948.4849481494,3376332.3657590174,23813020.693625342,35.0
G32,2024-04-13 16:54:01.426041,4435790.896866973,3083133.015555355,3375069.6580093186,21486188.138760492,48.6
G03,2024-04-13 16:54:01.426041,4437075.500545679,3084975.701033841,3376338.065492774,23989423.68834008,23.8
G08,2024-04-13 16:54:01.426041,4437070.511595779,3084986.143693257,3376335.3677315456,21162262.992599335,38.6
G10,2024-04-13 16:54:01.426041,4437057.262358867,3084983.209748536,3376323.524598402,22843589.93619824,29.3
G28,2024-04-13 16:54:01.426041,4435765.152763786,3083166.564127604,3375059.0793094696,23810681.422136467,26.4
G32,2024-04-13 16:54:01.426041,4435763.906695387,3083178.478593443,3375052.8673224957,21483833.860084362,34.6
G02,2024-04-13 16:54:02.426042,4437058.976286384,3085028.494141842,3376326.275646309,22880322.88884331,43.9
G03,2024-04-13 16:54:02.426042,4437047.066516623,3085021.4868604844,3376321.159248545,23991299.79614971,37.9
G08,2024-04-13 16:54:02.426042,4437037.3175702,3085033.0866411454,3376316.467426149,21164824.719463956,44.7
G10,2024-04-13 16:54:02.426042,4437062.588040153,3085066.933407656,3376338.4719000873,22846330.318392076,35.3
G21,2024-04-13 16:54:02.426042,4437062.089193647,3085077.274910821,3376340.1197293345,21663083.369217232,40.8
G27,2024-04-13 16:54:02.426042,4437041.959996192,3085066.400763748,3376314.174404554,22226949.21870159,40.1
G32,2024-04-13 16:54:02.426042,4437035.381090515,3085053.7605937487,3376308.329154847,21486471.7396992,50.9
G03,2024-04-13 16:54:02.426042,4437037.683049535,3085068.7023643544,3376315.994093541,23988953.893578093,28.3
G08,2024-04-13 16:54:02.426042,4437045.326036537,3085071.2612048136,3376316.741520639,21162473.756329194,39.8
G10,2024-04-13 16:54:02.426042,4437040.004894456,3085069.72955481,3376314.8882602137,22843977.575335108,26.4
G27,2024-04-13 16:54:02.426042,4437014.779825183,3085064.35218196,3376307.1380825154,22224595.847436782,26.5
G28,2024-04-13 16:54:02.426042,4435502.845037988,3082845.000464255,3375195.651146314,23810205.345296092,31.7
G32,2024-04-13 16:54:02.426042,4437022.377989414,3085083.4319855003,3376303.996936874,21484115.960304342,37.2
G02,2024-04-13 16:54:03.426042,4437002.750807881,3085081.481073897,3376303.319769656,22879850.441648226,45.4
G08,2024-04-13 16:54:03.426042,4436986.781918674,3085070.4729841165,3376294.6716249622,21165037.577219944,48.4
G10,2024-04-13 16:54:03.426042,4436985.843219122,3085094.2156452043,3376304.293154371,22846734.151331007,34.4
G21,2024-04-13 16:54:03.426042,4436997.870636883,3085116.9579155673,3376313.283654421,21662777.571601562,46.6
G27,2024-04-13 16:54:03.426042,4436995.089217168,3085121.64524654,3376309.1333722756,22227518.235401645,37.7
G32,2024-04-13 16:54:03.426042,4436988.519458378,3085136.6876312844,3376314.9927301416,21486752.05999697,53.0
G08,2024-04-13 16:54:03.426042,4436972.180740698,3085127.809987047,3376303.3331921957,21162686.57918475,43.3
G27,2024-04-13 16:54:03.426042,4435667.152611961,3083298.7144898195,3375042.191514882,22225168.45888169,33.5
G28,2024-04-13 16:54:03.426042,4436979.990180751,3085178.1434400277,3376331.5352372634,23809727.767736994,37.6
G32,2024-04-13 16:54:03.426042,4435800.39357628,3085174.6401513373,3375102.0760193835,21484399.56124305,41.8
G02,2024-04-13 16:54:04.426042,4435778.355579518,3085164.0424883226,3375092.988263458,22879382.147604965,40.6
G03,2024-04-13 16:54:04.426042,4436959.398326555,3085177.1152347066,3376320.8162073996,23990369.839145925,33.3
G08,2024-04-13 16:54:04.426042,4436953.629029278,3085182.329085597,3376319.9602227258,21165253.401512947,48.8
G10,2024-04-13 16:54:04.426042,4436943.460980396,3085178.198644583,3376319.6487939386,22847112.19284812,35.5
G21,2024-04-13 16:54:04.426042,4436946.010794124,3085192.667230617,3376324.8024248886,21662463.99118878,47.1
G27,2024-04-13 16:54:04.426042,4436931.594729138,3085191.6535763755,3376313.840292963,22228096.535617538,37.0
G32,2024-04-13 16:54:04.426042,4435415.489106397,3082986.6911975,3375209.4529199237,21487035.94013916,50.9
G08,2024-04-13 16:54:04.426042,4436925.743090001,3085214.6523155896,3376319.9815996876,21162900.658455975,44.1
G10,2024-04-13 16:54:04.426042,4436917.983622128,3085211.3133484945,3376318.4124996956,22844754.005323216,28.3
G27,2024-04-13 16:54:04.426042,4436917.6866631815,3085226.876378838,3376319.421409738,22225740.75622268,33.7
G28,2024-04-13 16:54:04.426042,4436899.205576666,3085215.7602321627,3376308.513130225,23809253.819823183,28.9
